REGION,EMISSION,YEAR,VALUE
RE1,EMIC02,2022,90.0
RE1,EMIC02,2023,90.0
RE1,EMIC02,2024,90.0
RE1,EMIC02,2025,87.6923076923077
RE1,EMIC02,2026,85.38461538461539
RE1,EMIC02,2027,83.07692307692308
RE1,EMIC02,2028,80.76923076923077
RE1,EMIC02,2029,78.46153846153847
RE1,EMIC02,2030,76.15384615384616
RE1,EMIC02,2031,73.84615384615384
RE1,EMIC02,2032,71.53846153846155
RE1,EMIC02,2033,69.23076923076923
RE1,EMIC02,2034,66.92307692307693
RE1,EMIC02,2035,64.61538461538461
RE1,EMIC02,2036,62.30769230769231
RE1,EMIC02,2037,60.0
RE1,EMIC02,2038,57.69230769230769
RE1,EMIC02,2039,55.38461538461539
RE1,EMIC02,2040,53.07692307692308
RE1,EMIC02,2041,50.769230769230774
RE1,EMIC02,2042,48.46153846153847
RE1,EMIC02,2043,46.15384615384616
RE1,EMIC02,2044,43.846153846153854
RE1,EMIC02,2045,41.53846153846154
RE1,EMIC02,2046,39.23076923076923
RE1,EMIC02,2047,36.92307692307693
RE1,EMIC02,2048,34.61538461538462
RE1,EMIC02,2049,32.307692307692314
RE1,EMIC02,2050,30.000000000000007
RE1,EMIC02,2051,30.0
RE1,EMIC02,2052,30.0
RE1,EMIC02,2053,30.0
RE1,EMIC02,2054,30.0
RE1,EMICH4,2022,90.0
RE1,EMICH4,2023,90.0
RE1,EMICH4,2024,90.0
RE1,EMICH4,2025,87.6923076923077
RE1,EMICH4,2026,85.38461538461539
RE1,EMICH4,2027,83.07692307692308
RE1,EMICH4,2028,80.76923076923077
RE1,EMICH4,2029,78.46153846153847
RE1,EMICH4,2030,76.15384615384616
RE1,EMICH4,2031,73.84615384615384
RE1,EMICH4,2032,71.53846153846155
RE1,EMICH4,2033,69.23076923076923
RE1,EMICH4,2034,66.92307692307693
RE1,EMICH4,2035,64.61538461538461
RE1,EMICH4,2036,62.30769230769231
RE1,EMICH4,2037,60.0
RE1,EMICH4,2038,57.69230769230769
RE1,EMICH4,2039,55.38461538461539
RE1,EMICH4,2040,53.07692307692308
RE1,EMICH4,2041,50.769230769230774
RE1,EMICH4,2042,48.46153846153847
RE1,EMICH4,2043,46.15384615384616
RE1,EMICH4,2044,43.846153846153854
RE1,EMICH4,2045,41.53846153846154
RE1,EMICH4,2046,39.23076923076923
RE1,EMICH4,2047,36.92307692307693
RE1,EMICH4,2048,34.61538461538462
RE1,EMICH4,2049,32.307692307692314
RE1,EMICH4,2050,30.000000000000007
RE1,EMICH4,2051,30.0
RE1,EMICH4,2052,30.0
RE1,EMICH4,2053,30.0
RE1,EMICH4,2054,30.0
RE1,EMIN2O,2022,90.0
RE1,EMIN2O,2023,90.0
RE1,EMIN2O,2024,90.0
RE1,EMIN2O,2025,87.6923076923077
RE1,EMIN2O,2026,85.38461538461539
RE1,EMIN2O,2027,83.07692307692308
RE1,EMIN2O,2028,80.76923076923077
RE1,EMIN2O,2029,78.46153846153847
RE1,EMIN2O,2030,76.15384615384616
RE1,EMIN2O,2031,73.84615384615384
RE1,EMIN2O,2032,71.53846153846155
RE1,EMIN2O,2033,69.23076923076923
RE1,EMIN2O,2034,66.92307692307693
RE1,EMIN2O,2035,64.61538461538461
RE1,EMIN2O,2036,62.30769230769231
RE1,EMIN2O,2037,60.0
RE1,EMIN2O,2038,57.69230769230769
RE1,EMIN2O,2039,55.38461538461539
RE1,EMIN2O,2040,53.07692307692308
RE1,EMIN2O,2041,50.769230769230774
RE1,EMIN2O,2042,48.46153846153847
RE1,EMIN2O,2043,46.15384615384616
RE1,EMIN2O,2044,43.846153846153854
RE1,EMIN2O,2045,41.53846153846154
RE1,EMIN2O,2046,39.23076923076923
RE1,EMIN2O,2047,36.92307692307693
RE1,EMIN2O,2048,34.61538461538462
RE1,EMIN2O,2049,32.307692307692314
RE1,EMIN2O,2050,30.000000000000007
RE1,EMIN2O,2051,30.0
RE1,EMIN2O,2052,30.0
RE1,EMIN2O,2053,30.0
RE1,EMIN2O,2054,30.0
