REGION,TECHNOLOGY,VALUE
RE1,DEMINDCOAFUR_HIG,1.0
RE1,DEMINDCOAFUR_LOW,1.0
RE1,DEMINDCOAFUR_MID,1.0
RE1,DEMINDCOAOTH_LOW,1.0
RE1,DEMINDELCAIR_HIG,1.0
RE1,DEMRESELCCKN_HIG,1.0
RE1,DEMRESELCCKN_MID,1.0
RE1,DEMRESNGSCKN_LOW,1.0
RE1,DEMRESNGSCKN_HIG,1.0
RE1,DEMRESWOOCKN_MID,1.0
RE1,DEMRESZNIELCCKN_LOW,1.0
RE1,DEMRESZNILPGCKN_MID,1.0
RE1,DEMRESZNIWOOCKN_LOW,1.0
RE1,GRDZNIELC,1.0
RE1,DEMTERBGSCKN_LOW,1.0
RE1,DEMTERBGSCKN_MID,1.0
RE1,DEMTERBGSCKN_HIG,1.0
RE1,DEMTERELCCKN_HIG,1.0
RE1,DEMTERELCCKN_MID,1.0
RE1,DEMTERLPGCKN_MID,1.0
RE1,DEMTERNGSCKN_HIG,1.0
RE1,DEMTERLPGCKN_LOW,1.0
RE1,DEMTERLPGCKN_HIG,1.0
RE1,DEMRESELCFAN_MID,1.0
RE1,UPSREF_CAR,1.0
RE1,DEMRESLPGCKN_MID,1.0
RE1,DEMRESNGSWHT_MID,1.0
RE1,DEMRESELCWHT_TAN_LOW,1.0
RE1,DEMRESELCWHT_TAN_MID,1.0
RE1,DEMRESELCWHT_PAS_LOW,1.0
RE1,DEMRESELCWHT_PAS_MID,1.0
RE1,DEMRESELCWHT_DUC_LOW,1.0
RE1,DEMRESELCWHT_DUC_MID,1.0
RE1,DEMRESELCTV_CRT,1.0
RE1,DEMRESELCILU_INC,1.0
RE1,DEMRESELCILU_LFC,1.0
RE1,DEMRESELCILU_MID,1.0
RE1,DEMRESELCOTH_MID,1.0
RE1,DEMRESELCOTH_HIG,1.0
RE1,DEMRESELCAIR_SPL_MID,1.0
RE1,DEMRESELCAIR_PAR_MID,1.0
RE1,DEMRESWOOCKN_HIG,1.0
RE1,DEMRESLPGCKN_HIG,1.0
RE1,DEMCYRELC,1.0
RE1,DEMAGFWOO,1.0
RE1,DEMTRAGSLBOT,1.0
RE1,DEMTRADSLBUS_ART,1.0
RE1,DEMTRANGSBUS_ART,1.0
RE1,DEMTRAELCBUS_ART,1.0
RE1,DEMTRADSLBUS_BIA,1.0
RE1,DEMTRANGSBUS_BIA,1.0
RE1,DEMTRAELCBUS_BIA,1.0
RE1,DEMTRAHEVLDV,1.0
RE1,DEMTRAHEVFWD,1.0
RE1,DEMTERELCBOI_MID,1.0
RE1,DEMTERELCREF_MID,1.0
RE1,DEMTERELCMPW_LOW,1.0
RE1,DEMTERELCAIR_MID,1.0
RE1,DEMTERELCMPW_MID,1.0
RE1,DEMTERELCILU_CIA,1.0
RE1,DEMTERELCILU_HAL,1.0
RE1,DEMTERELCILU_VAP,1.0
RE1,DEMTERELCILU_LFC,1.0
RE1,DEMINDELCAIR_LOW,1.0
RE1,PWRSOLUGE,1.0
RE1,DEMINDELCAIR_MID,1.0
RE1,DEMINDELCBOI_HIG,1.0
RE1,DEMINDELCBOI_LOW,1.0
RE1,DEMINDELCBOI_MID,1.0
RE1,DEMINDELCFUR_HIG,1.0
RE1,DEMINDELCFUR_LOW,1.0
RE1,DEMINDELCFUR_MID,1.0
RE1,DEMINDELCILU_HIG,1.0
RE1,DEMINDELCILU_LOW,1.0
RE1,DEMINDELCILU_MID,1.0
RE1,DEMINDELCMPW_HIG,1.0
RE1,DEMINDELCMPW_LOW,1.0
RE1,DEMINDELCMPW_MID,1.0
RE1,DEMINDELCOTH_HIG,1.0
RE1,DEMINDELCOTH_LOW,1.0
RE1,DEMINDELCOTH_MID,1.0
RE1,DEMINDELCREF_HIG,1.0
RE1,DEMINDELCREF_LOW,1.0
RE1,DEMINDELCREF_MID,1.0
RE1,DEMINDHDGBOI_LOW,1.0
RE1,DEMINDLPGBOI_HIG,1.0
RE1,DEMINDLPGBOI_LOW,1.0
RE1,DEMINDLPGBOI_MID,1.0
RE1,DEMINDLPGFUR_HIG,1.0
RE1,DEMINDLPGFUR_LOW,1.0
RE1,DEMINDLPGFUR_MID,1.0
RE1,DEMRESNGSWHT_HIG,1.0
RE1,DEMRESELCWHT_TAN_HIG,1.0
RE1,DEMRESELCWHT_DUC_HIG,1.0
RE1,DEMRESELCAIR_SPL_HIG,1.0
RE1,DEMRESELCAIR_PAR_HIG,1.0
RE1,DEMRESELCTV_HIG,1.0
