REGION,FUEL,YEAR,VALUE
RE1,LNG,2025,0.0
RE1,LNG,2026,0.0
RE1,LNG,2027,0.0
RE1,LNG,2028,0.0
RE1,LNG,2029,0.0
RE1,LNG,2030,0.0
RE1,LNG,2031,0.0
RE1,LNG,2032,0.0
RE1,LNG,2033,0.0
RE1,LNG,2034,0.0
RE1,LNG,2035,0.0
RE1,LNG,2036,0.0
RE1,LNG,2037,0.0
RE1,LNG,2038,0.0
RE1,LNG,2039,0.0
RE1,LNG,2040,0.0
RE1,LNG,2041,0.0
RE1,LNG,2042,0.0
RE1,LNG,2043,0.0
RE1,LNG,2044,0.0
RE1,LNG,2045,0.0
RE1,LNG,2046,0.0
RE1,LNG,2047,0.0
RE1,LNG,2048,0.0
RE1,LNG,2049,0.0
RE1,LNG,2050,0.0
RE1,LNG,2051,0.0
RE1,LNG,2052,0.0
RE1,LNG,2053,0.0
RE1,LNG,2054,0.0
RE1,ELC,2022,0.0
RE1,ELC,2023,0.0
RE1,ELC,2024,0.0
RE1,ELC,2025,0.0
RE1,ELC,2026,0.0
RE1,ELC,2027,0.0
RE1,ELC,2028,0.0
RE1,ELC,2029,0.0
RE1,ELC,2030,0.0
RE1,ELC,2031,0.0
RE1,ELC,2032,0.0
RE1,ELC,2033,0.0
RE1,ELC,2034,0.0
RE1,ELC,2035,0.0
RE1,ELC,2036,0.0
RE1,ELC,2037,0.0
RE1,ELC,2038,0.0
RE1,ELC,2039,0.0
RE1,ELC,2040,0.0
RE1,ELC,2041,0.0
RE1,ELC,2042,0.0
RE1,ELC,2043,0.0
RE1,ELC,2044,0.0
RE1,ELC,2045,0.0
RE1,ELC,2046,0.0
RE1,ELC,2047,0.0
RE1,ELC,2048,0.0
RE1,ELC,2049,0.0
RE1,ELC,2050,0.0
RE1,ELC,2051,0.0
RE1,ELC,2052,0.0
RE1,ELC,2053,0.0
RE1,ELC,2054,0.0
RE1,ELC002,2022,0.0
RE1,ELC002,2023,0.0
RE1,ELC002,2024,0.0
RE1,ELC002,2025,0.0
RE1,ELC002,2026,0.0
RE1,ELC002,2027,0.0
RE1,ELC002,2028,0.0
RE1,ELC002,2029,0.0
RE1,ELC002,2030,0.0
RE1,ELC002,2031,0.0
RE1,ELC002,2032,0.0
RE1,ELC002,2033,0.0
RE1,ELC002,2034,0.0
RE1,ELC002,2035,0.0
RE1,ELC002,2036,0.0
RE1,ELC002,2037,0.0
RE1,ELC002,2038,0.0
RE1,ELC002,2039,0.0
RE1,ELC002,2040,0.0
RE1,ELC002,2041,0.0
RE1,ELC002,2042,0.0
RE1,ELC002,2043,0.0
RE1,ELC002,2044,0.0
RE1,ELC002,2045,0.0
RE1,ELC002,2046,0.0
RE1,ELC002,2047,0.0
RE1,ELC002,2048,0.0
RE1,ELC002,2049,0.0
RE1,ELC002,2050,0.0
RE1,ELC002,2051,0.0
RE1,ELC002,2052,0.0
RE1,ELC002,2053,0.0
RE1,ELC002,2054,0.0
RE1,INDDHT,2022,0.0
RE1,INDDHT,2023,0.0
RE1,INDDHT,2024,0.0
RE1,INDDHT,2025,0.0
RE1,INDDHT,2026,0.0
RE1,INDDHT,2027,0.0
RE1,INDDHT,2028,0.0
RE1,INDDHT,2029,0.0
RE1,INDDHT,2030,0.0
RE1,INDDHT,2031,0.0
RE1,INDDHT,2032,0.0
RE1,INDDHT,2033,0.0
RE1,INDDHT,2034,0.0
RE1,INDDHT,2035,0.0
RE1,INDDHT,2036,0.0
RE1,INDDHT,2037,0.0
RE1,INDDHT,2038,0.0
RE1,INDDHT,2039,0.0
RE1,INDDHT,2040,0.0
RE1,INDDHT,2041,0.0
RE1,INDDHT,2042,0.0
RE1,INDDHT,2043,0.0
RE1,INDDHT,2044,0.0
RE1,INDDHT,2045,0.0
RE1,INDDHT,2046,0.0
RE1,INDDHT,2047,0.0
RE1,INDDHT,2048,0.0
RE1,INDDHT,2049,0.0
RE1,INDDHT,2050,0.0
RE1,INDDHT,2051,0.0
RE1,INDDHT,2052,0.0
RE1,INDDHT,2053,0.0
RE1,INDDHT,2054,0.0
RE1,INDIHT,2022,0.0
RE1,INDIHT,2023,0.0
RE1,INDIHT,2024,0.0
RE1,INDIHT,2025,0.0
RE1,INDIHT,2026,0.0
RE1,INDIHT,2027,0.0
RE1,INDIHT,2028,0.0
RE1,INDIHT,2029,0.0
RE1,INDIHT,2030,0.0
RE1,INDIHT,2031,0.0
RE1,INDIHT,2032,0.0
RE1,INDIHT,2033,0.0
RE1,INDIHT,2034,0.0
RE1,INDIHT,2035,0.0
RE1,INDIHT,2036,0.0
RE1,INDIHT,2037,0.0
RE1,INDIHT,2038,0.0
RE1,INDIHT,2039,0.0
RE1,INDIHT,2040,0.0
RE1,INDIHT,2041,0.0
RE1,INDIHT,2042,0.0
