REGION,TECHNOLOGY,VALUE
RE1,UPSBET,0.0
RE1,DEMCYRNGS,0.0
RE1,DEMAGFELC,0.0
RE1,DEMRESZNIELC_LOW,0.0
RE1,DEMCYRDSL,0.0
RE1,DEMRESELCCKN_HIG,0.0
RE1,DEMRESELCCKN_MID,0.0
RE1,DEMRESNGSCKN_LOW,0.0
RE1,DEMRESNGSCKN_HIG,0.0
RE1,DEMRESWOOCKN_MID,0.0
RE1,DEMRESZNIELCCKN_LOW,0.0
RE1,DEMRESZNILPGCKN_MID,0.0
RE1,DEMRESZNIWOOCKN_LOW,0.0
RE1,GRDZNIELC,0.0
RE1,DEMTERBGSCKN_LOW,0.0
RE1,DEMTERBGSCKN_MID,0.0
RE1,DEMTERBGSCKN_HIG,0.0
RE1,DEMTERELCCKN_HIG,0.0
RE1,DEMTERELCCKN_MID,0.0
RE1,DEMTERLPGCKN_MID,0.0
RE1,DEMTERNGSCKN_HIG,0.0
RE1,DEMTERLPGCKN_LOW,0.0
RE1,DEMTERLPGCKN_HIG,0.0
RE1,DEMRESELCFAN_MID,0.0
RE1,UPSREF_CAR,0.0
RE1,DEMRESLPGCKN_MID,0.0
RE1,DEMRESNGSWHT_MID,0.0
RE1,DEMRESELCWHT_TAN_LOW,0.0
RE1,DEMRESELCWHT_TAN_MID,0.0
RE1,DEMRESELCWHT_PAS_LOW,0.0
RE1,DEMRESELCWHT_PAS_MID,0.0
RE1,DEMRESELCWHT_DUC_LOW,0.0
RE1,DEMRESELCWHT_DUC_MID,0.0
RE1,DEMRESELCTV_CRT,0.0
RE1,DEMRESELCILU_INC,0.0
RE1,DEMRESELCILU_LFC,0.0
RE1,DEMRESELCILU_MID,0.0
RE1,DEMRESELCOTH_MID,0.0
RE1,DEMRESELCOTH_HIG,0.0
RE1,DEMRESELCAIR_SPL_MID,0.0
RE1,DEMRESELCAIR_PAR_MID,0.0
RE1,DEMRESWOOCKN_HIG,0.0
RE1,DEMRESLPGCKN_HIG,0.0
RE1,DEMCYRELC,0.0
RE1,DEMAGFWOO,0.0
RE1,DEMTRAGSLBOT,0.0
RE1,DEMTRADSLBUS_ART,0.0
RE1,DEMTRANGSBUS_ART,0.0
RE1,DEMTRAELCBUS_ART,0.0
RE1,DEMTRADSLBUS_BIA,0.0
RE1,DEMTRANGSBUS_BIA,0.0
RE1,DEMTRAELCBUS_BIA,0.0
RE1,DEMTRAHEVLDV,0.0
RE1,DEMTRAHEVFWD,0.0
RE1,DEMTERELCBOI_MID,0.0
RE1,DEMTERELCREF_MID,0.0
RE1,DEMTERELCMPW_LOW,0.0
RE1,DEMTERELCAIR_MID,0.0
RE1,DEMTERELCMPW_MID,0.0
RE1,DEMTERELCILU_CIA,0.0
RE1,DEMTERELCILU_HAL,0.0
RE1,DEMTERELCILU_VAP,0.0
RE1,DEMTERELCILU_LFC,0.0
RE1,DEMINDELCAIR_HIG,0.0
RE1,PWRSOLUGE,0.0
RE1,DEMINDELCAIR_LOW,0.0
RE1,DEMINDELCAIR_MID,0.0
RE1,DEMINDELCBOI_HIG,0.0
RE1,DEMINDELCBOI_LOW,0.0
RE1,DEMINDELCBOI_MID,0.0
RE1,DEMINDELCFUR_HIG,0.0
RE1,DEMINDELCFUR_LOW,0.0
RE1,DEMINDELCFUR_MID,0.0
RE1,DEMINDELCILU_HIG,0.0
RE1,DEMINDELCILU_LOW,0.0
RE1,DEMINDELCILU_MID,0.0
RE1,DEMINDELCMPW_HIG,0.0
RE1,DEMINDELCMPW_LOW,0.0
RE1,DEMINDELCMPW_MID,0.0
RE1,DEMINDELCOTH_HIG,0.0
RE1,DEMINDELCOTH_LOW,0.0
RE1,DEMINDELCOTH_MID,0.0
RE1,DEMINDELCREF_HIG,0.0
RE1,DEMINDELCREF_LOW,0.0
RE1,DEMINDELCREF_MID,0.0
RE1,DEMINDHDGBOI_LOW,0.0
RE1,DEMINDLPGBOI_HIG,0.0
RE1,DEMINDLPGBOI_LOW,0.0
RE1,DEMINDLPGBOI_MID,0.0
RE1,DEMINDLPGFUR_HIG,0.0
RE1,DEMINDLPGFUR_LOW,0.0
RE1,DEMINDLPGFUR_MID,0.0
RE1,DEMRESNGSWHT_HIG,0.0
RE1,DEMRESELCWHT_TAN_HIG,0.0
RE1,DEMRESELCWHT_DUC_HIG,0.0
RE1,DEMRESELCAIR_SPL_HIG,0.0
RE1,DEMRESELCAIR_PAR_HIG,0.0
RE1,DEMRESELCTV_HIG,0.0
RE1,DEMTERELCOTH_MID,0.0
RE1,DEMTERELCOTH_HIG,0.0
RE1,DEMTERELCBOI_HIG,0.0
RE1,DEMTERELCMPW_HIG,0.0
RE1,DEMTRADSLBOT,0.0
RE1,DEMTRAELCBOT,0.0
RE1,DEMTRAFOLSHP,0.0
RE1,DEMINDNGSBOI_HIG,0.0
RE1,DEMINDNGSBOI_LOW,0.0
RE1,DEMINDNGSBOI_MID,0.0
RE1,DEMINDNGSFUR_HIG,0.0
RE1,DEMINDNGSFURCSS,0.0
RE1,DEMINDNGSFUR_MID,0.0
RE1,DEMTRADSLBUS_URB,0.0
RE1,DEMTRANGSBUS_URB,0.0
RE1,DEMTRAELCBUS_URB,0.0
RE1,DEMTRAHDGBUS_URB,0.0
RE1,UPSBMET,0.0
RE1,UPSBMETL,0.0
RE1,DEMTRADSLTCK_C2P,0.0
RE1,DEMTRAELCTCK_C2P,0.0
RE1,DEMTRANGSTCK_C2P,0.0
RE1,DEMAGFNGS,0.0
RE1,DEMAGFDSL,0.0
RE1,DEMAGFGSL,0.0
RE1,DEMRESWOOCKN_LOW_RUR,0.0
RE1,DEMRESNGSCKN_MID_RUR,0.0
RE1,DEMRESELCCKN_LOW_RUR,0.0
RE1,DEMRESLPGCKN_LOW_RUR,0.0
RE1,DEMRESNGSWHT_LOW_RUR,0.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,0.0
RE1,DEMRESELCREF_LOW_RUR,0.0
RE1,DEMRESELCREF_HIG_RUR,0.0
RE1,DEMRESELCILU_LOW_RUR,0.0
RE1,DEMRESELCILU_HIG_RUR,0.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,0.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,0.0
RE1,DEMRESELCTV_LOW_RUR,0.0
RE1,DEMRESELCTV_MID_RUR,0.0
RE1,DEMRESELCWSH_LOW_RUR,0.0
RE1,DEMRESELCWSH_HIG_RUR,0.0
RE1,DEMRESELCFAN_LOW_RUR,0.0
RE1,DEMRESELCFAN_HIG_RUR,0.0
RE1,DEMRESELCOTH_LOW_RUR,0.0
RE1,DEMRESELCREF_MID_RUR,0.0
RE1,DEMRESELCWSH_MID_RUR,0.0
RE1,DEMRESELCCKN_HIG_RUR,0.0
RE1,DEMRESELCCKN_MID_RUR,0.0
RE1,DEMRESNGSCKN_LOW_RUR,0.0
RE1,DEMRESNGSCKN_HIG_RUR,0.0
RE1,DEMRESWOOCKN_MID_RUR,0.0
RE1,DEMRESELCFAN_MID_RUR,0.0
RE1,DEMRESLPGCKN_MID_RUR,0.0
RE1,DEMRESNGSWHT_MID_RUR,0.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,0.0
RE1,DEMRESELCWHT_TAN_MID_RUR,0.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,0.0
RE1,DEMRESELCWHT_PAS_MID_RUR,0.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,0.0
RE1,DEMRESELCWHT_DUC_MID_RUR,0.0
RE1,DEMRESELCTV_CRT_RUR,0.0
RE1,DEMRESELCILU_INC_RUR,0.0
RE1,DEMRESELCILU_LFC_RUR,0.0
RE1,DEMRESELCILU_MID_RUR,0.0
RE1,DEMRESELCOTH_MID_RUR,0.0
RE1,DEMRESELCOTH_HIG_RUR,0.0
RE1,DEMRESELCAIR_SPL_MID_RUR,0.0
RE1,DEMRESELCAIR_PAR_MID_RUR,0.0
RE1,DEMRESWOOCKN_HIG_RUR,0.0
RE1,DEMRESLPGCKN_HIG_RUR,0.0
RE1,DEMRESNGSWHT_HIG_RUR,0.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,0.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,0.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,0.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,0.0
RE1,DEMRESELCTV_HIG_RUR,0.0
RE1,DEMTERELCILU_MID,0.0
RE1,DEMINDHDGBOI_HIG,0.0
RE1,DEMINDWASFUR_LOW,0.0
RE1,DEMINDWASFUR_MID,0.0
RE1,DEMINDWASFUR_HIG,0.0
RE1,DEMINDAUTFUR,0.0
RE1,DEMINDWASBOI_LOW,0.0
RE1,DEMINDAUTBOI,0.0
RE1,DEMINDWASBOI_MID,0.0
RE1,DEMINDWASBOI_HIG,0.0
RE1,PWRNGS_CC,0.0
RE1,PWRDSL,0.0
RE1,PWRJET,0.0
RE1,PWRLPG,0.0
RE1,PWRFOIL,0.0
RE1,PWRHYDROR_NDC,0.0
RE1,MINWAS_ORG,0.0
RE1,DEMTRAJETSAFAVI,0.0
RE1,UPSSAF,0.0
RE1,UPSBJS,0.0
RE1,UPSEV_FC,0.0
