REGION,TECHNOLOGY,VALUE
RE1,UPSSMRCCS,20.0
RE1,UPSREG,25.0
RE1,UPSBGB,40.0
RE1,UPSBDB,40.0
RE1,PWRSOLRTP,25.0
RE1,PWRSOLRTP_ZNI,25.0
RE1,PWRSTD,20.0
RE1,PWRWAS,20.0
RE1,GRDTYDELC,30.0
RE1,UPSEVC,20.0
RE1,UPSHDGRST,20.0
RE1,GRDNGSDST,50.0
RE1,GRDLPGDST,50.0
RE1,GRDCOADST,30.0
RE1,BBGDST,40.0
RE1,DEMRESWOOCKN_LOW,20.0
RE1,DEMRESNGSCKN_MID,15.0
RE1,DEMRESELCCKN_LOW,15.0
RE1,DEMRESLPGCKN_LOW,15.0
RE1,DEMRESNGSWHT_LOW,10.0
RE1,DEMRESELCWHT_PAS_HIG,10.0
RE1,DEMRESELCREF_LOW,7.0
RE1,DEMRESELCREF_HIG,7.0
RE1,DEMRESELCILU_LOW,7.0
RE1,DEMRESELCILU_HIG,7.0
RE1,DEMRESELCAIR_SPL_LOW,10.0
RE1,DEMRESELCAIR_PAR_LOW,20.0
RE1,DEMRESELCTV_LOW,5.0
RE1,DEMRESELCTV_MID,5.0
RE1,DEMRESELCWSH_LOW,5.0
RE1,DEMRESELCWSH_HIG,5.0
RE1,DEMRESELCFAN_LOW,8.0
RE1,DEMRESELCFAN_HIG,8.0
RE1,DEMRESELCOTH_LOW,5.0
RE1,DEMTRAGSLLDV,20.0
RE1,DEMTRADSLLDV,20.0
RE1,DEMTRANGSLDV,20.0
RE1,DEMTRAELCLDV,20.0
RE1,DEMTRAPHEVLDV,20.0
RE1,DEMTRAHDGLDV,20.0
RE1,DEMTRAGSLFWD,20.0
RE1,DEMTRADSLFWD,20.0
RE1,DEMTRANGSFWD,20.0
RE1,DEMTRAELCFWD,20.0
RE1,DEMTRAPHEVFWD,20.0
RE1,DEMTRAHDGFWD,20.0
RE1,DEMTRAGSLMOT,12.0
RE1,DEMTRAELCMOT,12.0
RE1,DEMNSEELC,100.0
RE1,DEMTRAGSLTAX,20.0
RE1,DEMTRADSLTAX,20.0
RE1,DEMTRANGSTAX,20.0
RE1,DEMTRAELCTAX,20.0
RE1,DEMTRAPHEVTAX,20.0
RE1,DEMTRAHDGTAX,20.0
RE1,DEMTRAGSLMIC,25.0
RE1,DEMTRADSLMIC,25.0
RE1,DEMTRANGSMIC,25.0
RE1,DEMTRAELCMIC,25.0
RE1,DEMTRAHDGMIC,25.0
RE1,"DEMTRAGSLBUS_IMU
",25.0
RE1,"DEMTRADSLBUS_IMU
",25.0
RE1,"DEMTRANGSBUS_IMU
",25.0
RE1,"DEMTRAELCBUS_IMU
",25.0
RE1,"DEMTRAHDGBUS_IMU
",25.0
RE1,DEMTRAGSLTCK_C2P,34.0
RE1,DEMTRADSLTCK_CSG,34.0
RE1,DEMTRANGSTCK_CSG,34.0
RE1,DEMTRAELCTCK_CSG,34.0
RE1,DEMTRAHDGTCK_CSG,34.0
RE1,DEMTRAGSLSTT,30.0
RE1,DEMTRADSLSTT,30.0
RE1,DEMTRANGSSTT,30.0
RE1,DEMTRAELCSTT,30.0
RE1,DEMTRAHDGSTT,30.0
RE1,DEMTRAJETAVI,35.0
RE1,DEMTRADSLSHP,35.0
RE1,DEMTRAELCMET,35.0
RE1,DEMTERNGSCKN_LOW,30.0
RE1,DEMTERELCCKN_LOW,30.0
RE1,DEMTERNGSBOI_LOW,25.0
RE1,DEMTERELCBOI_LOW,25.0
RE1,DEMTERELCREF_LOW,15.0
RE1,DEMTERELCREF_HIG,15.0
RE1,DEMTERELCILU_LOW,7.0
RE1,DEMTERELCILU_HIG,7.0
RE1,DEMTERELCAIR_LOW,20.0
RE1,DEMTERELCAIR_HIG,20.0
RE1,DEMTERELCOTH_LOW,5.0
RE1,DEMCYRGSL,40.0
RE1,DEMRESELCREF_MID,7.0
RE1,DEMRESELCWSH_MID,5.0
RE1,DEMCYRLPG,40.0
RE1,BACKSTOP 1,80.0
RE1,BACKSTOP 2,80.0
RE1,UPSBET,1.0
RE1,DEMCYRNGS,40.0
RE1,DEMAGFELC,40.0
RE1,DEMRESZNIELC_LOW,5.0
RE1,DEMCYRDSL,40.0
RE1,DEMINDCOABOI_HIG,25.0
RE1,DEMINDCOABOI_LOW,25.0
RE1,DEMINDCOABOI_MID,25.0
RE1,DEMINDCOAFUR_HIG,25.0
RE1,DEMINDCOAFUR_LOW,25.0
RE1,DEMINDCOAFUR_MID,25.0
RE1,DEMINDCOAOTH_LOW,100.0
RE1,DEMRESELCCKN_HIG,15.0
RE1,DEMRESELCCKN_MID,15.0
RE1,DEMRESNGSCKN_LOW,15.0
RE1,DEMRESNGSCKN_HIG,15.0
RE1,DEMRESWOOCKN_MID,20.0
RE1,DEMRESZNIELCCKN_LOW,15.0
RE1,DEMRESZNILPGCKN_MID,15.0
RE1,DEMRESZNIWOOCKN_LOW,15.0
RE1,GRDZNIELC,35.0
RE1,DEMTERBGSCKN_LOW,30.0
RE1,DEMTERBGSCKN_MID,30.0
RE1,DEMTERBGSCKN_HIG,30.0
RE1,DEMTERELCCKN_HIG,30.0
RE1,DEMTERELCCKN_MID,30.0
RE1,DEMTERLPGCKN_MID,30.0
RE1,DEMTERNGSCKN_HIG,30.0
RE1,DEMTERLPGCKN_LOW,30.0
RE1,DEMTERLPGCKN_HIG,30.0
RE1,DEMRESELCFAN_MID,8.0
RE1,UPSREF_CAR,20.0
RE1,DEMRESLPGCKN_MID,15.0
RE1,DEMRESNGSWHT_MID,10.0
RE1,DEMRESELCWHT_TAN_LOW,10.0
RE1,DEMRESELCWHT_TAN_MID,10.0
RE1,DEMRESELCWHT_PAS_LOW,10.0
RE1,DEMRESELCWHT_PAS_MID,10.0
RE1,DEMRESELCWHT_DUC_LOW,3.0
RE1,DEMRESELCWHT_DUC_MID,3.0
RE1,DEMRESELCTV_CRT,5.0
RE1,DEMRESELCILU_INC,7.0
RE1,DEMRESELCILU_LFC,7.0
RE1,DEMRESELCILU_MID,7.0
RE1,DEMRESELCOTH_MID,5.0
RE1,DEMRESELCOTH_HIG,5.0
RE1,DEMRESELCAIR_SPL_MID,10.0
RE1,DEMRESELCAIR_PAR_MID,20.0
RE1,DEMRESWOOCKN_HIG,20.0
RE1,DEMRESLPGCKN_HIG,15.0
RE1,DEMCYRELC,40.0
RE1,DEMAGFWOO,40.0
RE1,DEMTRAGSLBOT,25.0
RE1,DEMTRADSLBUS_ART,32.0
RE1,DEMTRANGSBUS_ART,32.0
RE1,DEMTRAELCBUS_ART,32.0
RE1,DEMTRADSLBUS_BIA,32.0
RE1,DEMTRANGSBUS_BIA,32.0
RE1,DEMTRAELCBUS_BIA,32.0
RE1,DEMTRAHEVLDV,20.0
RE1,DEMTRAHEVFWD,20.0
RE1,DEMTERELCBOI_MID,25.0
RE1,DEMTERELCREF_MID,15.0
RE1,DEMTERELCMPW_LOW,20.0
RE1,DEMTERELCAIR_MID,20.0
RE1,DEMTERELCMPW_MID,20.0
RE1,DEMTERELCILU_CIA,2.0
RE1,DEMTERELCILU_HAL,2.0
RE1,DEMTERELCILU_VAP,2.0
RE1,DEMTERELCILU_LFC,2.0
RE1,DEMINDELCAIR_HIG,25.0
RE1,PWRSOLUGE,25.0
RE1,DEMINDELCAIR_LOW,25.0
RE1,DEMINDELCAIR_MID,25.0
RE1,DEMINDELCBOI_HIG,25.0
RE1,DEMINDELCBOI_LOW,25.0
RE1,DEMINDELCBOI_MID,25.0
RE1,DEMINDELCFUR_HIG,25.0
RE1,DEMINDELCFUR_LOW,25.0
RE1,DEMINDELCFUR_MID,25.0
RE1,DEMINDELCILU_HIG,7.0
RE1,DEMINDELCILU_LOW,7.0
RE1,DEMINDELCILU_MID,7.0
RE1,DEMINDELCMPW_HIG,20.0
RE1,DEMINDELCMPW_LOW,20.0
RE1,DEMINDELCMPW_MID,20.0
RE1,DEMINDELCOTH_HIG,10.0
RE1,DEMINDELCOTH_LOW,10.0
RE1,DEMINDELCOTH_MID,10.0
RE1,DEMINDELCREF_HIG,20.0
RE1,DEMINDELCREF_LOW,20.0
RE1,DEMINDELCREF_MID,20.0
RE1,DEMINDHDGBOI_LOW,25.0
RE1,DEMINDLPGBOI_HIG,25.0
RE1,DEMINDLPGBOI_LOW,25.0
RE1,DEMINDLPGBOI_MID,25.0
RE1,DEMINDLPGFUR_HIG,25.0
RE1,DEMINDLPGFUR_LOW,25.0
RE1,DEMINDLPGFUR_MID,25.0
RE1,DEMRESNGSWHT_HIG,10.0
RE1,DEMRESELCWHT_TAN_HIG,10.0
RE1,DEMRESELCWHT_DUC_HIG,10.0
RE1,DEMRESELCAIR_SPL_HIG,10.0
RE1,DEMRESELCAIR_PAR_HIG,20.0
RE1,DEMRESELCTV_HIG,5.0
RE1,DEMTERELCOTH_MID,5.0
RE1,DEMTERELCOTH_HIG,5.0
RE1,DEMTERELCBOI_HIG,25.0
RE1,DEMTERELCMPW_HIG,20.0
RE1,DEMTRADSLBOT,25.0
RE1,DEMTRAELCBOT,25.0
RE1,DEMTRAFOLSHP,30.0
RE1,DEMINDNGSBOI_HIG,25.0
