REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,MINNGS,1.0,2030,10.38
RE1,MINNGS,1.0,2031,10.46
RE1,MINNGS,1.0,2032,10.67
RE1,MINNGS,1.0,2033,10.82
RE1,MINNGS,1.0,2034,10.9
RE1,MINNGS,1.0,2035,10.93
RE1,MINNGS,1.0,2036,11.03
RE1,MINNGS,1.0,2037,10.97
RE1,MINNGS,1.0,2038,10.98
RE1,MINNGS,1.0,2039,10.94
RE1,MINNGS,1.0,2040,10.92
RE1,MINNGS,1.0,2041,10.89
RE1,MINNGS,1.0,2042,10.87
RE1,MINNGS,1.0,2043,10.84
RE1,MINNGS,1.0,2044,10.82
RE1,MINNGS,1.0,2045,10.79
RE1,MINNGS,1.0,2046,10.75
RE1,MINNGS,1.0,2047,10.73
RE1,MINNGS,1.0,2048,10.69
RE1,MINNGS,1.0,2049,10.65
RE1,MINNGS,1.0,2050,10.62
RE1,MINNGS,1.0,2051,4.22
RE1,MINNGS,1.0,2052,4.22
RE1,MINNGS,1.0,2053,4.22
RE1,MINNGS,1.0,2054,4.22
RE1,MINBAG,1.0,2022,2.62
RE1,MINBAG,1.0,2023,3.26
RE1,MINBAG,1.0,2024,3.64
RE1,MINBAG,1.0,2025,3.64
RE1,MINBAG,1.0,2026,3.64
RE1,MINBAG,1.0,2027,3.64
RE1,MINBAG,1.0,2028,3.64
RE1,MINBAG,1.0,2029,3.64
RE1,MINBAG,1.0,2030,3.64
RE1,MINBAG,1.0,2031,3.64
RE1,MINBAG,1.0,2032,3.64
RE1,MINBAG,1.0,2033,3.64
RE1,MINBAG,1.0,2034,3.64
RE1,MINBAG,1.0,2035,3.64
RE1,MINBAG,1.0,2036,3.64
RE1,MINBAG,1.0,2037,3.64
RE1,MINBAG,1.0,2038,3.64
RE1,MINBAG,1.0,2039,3.64
RE1,MINBAG,1.0,2040,3.64
RE1,MINBAG,1.0,2041,3.64
RE1,MINBAG,1.0,2042,3.64
RE1,MINBAG,1.0,2043,3.64
RE1,MINBAG,1.0,2044,3.64
RE1,MINBAG,1.0,2045,3.64
RE1,MINBAG,1.0,2046,3.64
RE1,MINBAG,1.0,2047,3.64
RE1,MINBAG,1.0,2048,3.64
RE1,MINBAG,1.0,2049,3.64
RE1,MINBAG,1.0,2050,3.64
RE1,MINBAG,1.0,2051,3.64
RE1,MINBAG,1.0,2052,3.64
RE1,MINBAG,1.0,2053,3.64
RE1,MINBAG,1.0,2054,3.64
RE1,MINSGC,1.0,2022,20.4
RE1,MINSGC,1.0,2023,25.3
RE1,MINSGC,1.0,2024,28.2
RE1,MINSGC,1.0,2025,28.2
RE1,MINSGC,1.0,2026,28.2
RE1,MINSGC,1.0,2027,28.2
RE1,MINSGC,1.0,2028,28.2
RE1,MINSGC,1.0,2029,28.2
RE1,MINSGC,1.0,2030,28.2
RE1,MINSGC,1.0,2031,28.2
RE1,MINSGC,1.0,2032,28.2
RE1,MINSGC,1.0,2033,28.2
RE1,MINSGC,1.0,2034,28.2
RE1,MINSGC,1.0,2035,28.2
RE1,MINSGC,1.0,2036,28.2
RE1,MINSGC,1.0,2037,28.2
RE1,MINSGC,1.0,2038,28.2
RE1,MINSGC,1.0,2039,28.2
RE1,MINSGC,1.0,2040,28.2
RE1,MINSGC,1.0,2041,28.2
RE1,MINSGC,1.0,2042,28.2
RE1,MINSGC,1.0,2043,28.2
RE1,MINSGC,1.0,2044,28.2
RE1,MINSGC,1.0,2045,28.2
RE1,MINSGC,1.0,2046,28.2
RE1,MINSGC,1.0,2047,28.2
RE1,MINSGC,1.0,2048,28.2
RE1,MINSGC,1.0,2049,28.2
RE1,MINSGC,1.0,2050,28.2
RE1,MINSGC,1.0,2051,28.2
RE1,MINSGC,1.0,2052,28.2
RE1,MINSGC,1.0,2053,28.2
RE1,MINSGC,1.0,2054,28.2
RE1,MINOPL,1.0,2022,16.1
RE1,MINOPL,1.0,2023,17.4
RE1,MINOPL,1.0,2024,19.4
RE1,MINOPL,1.0,2025,19.4
RE1,MINOPL,1.0,2026,19.4
RE1,MINOPL,1.0,2027,19.4
RE1,MINOPL,1.0,2028,19.4
RE1,MINOPL,1.0,2029,19.4
RE1,MINOPL,1.0,2030,19.4
RE1,MINOPL,1.0,2031,19.4
RE1,MINOPL,1.0,2032,19.4
RE1,MINOPL,1.0,2033,19.4
RE1,MINOPL,1.0,2034,19.4
RE1,MINOPL,1.0,2035,19.4
RE1,MINOPL,1.0,2036,19.4
RE1,MINOPL,1.0,2037,19.4
RE1,MINOPL,1.0,2038,19.4
RE1,MINOPL,1.0,2039,19.4
RE1,MINOPL,1.0,2040,19.4
RE1,MINOPL,1.0,2041,19.4
RE1,MINOPL,1.0,2042,19.4
RE1,MINOPL,1.0,2043,19.4
RE1,MINOPL,1.0,2044,19.4
RE1,MINOPL,1.0,2045,19.4
RE1,MINOPL,1.0,2046,19.4
RE1,MINOPL,1.0,2047,19.4
RE1,MINOPL,1.0,2048,19.4
RE1,MINOPL,1.0,2049,19.4
RE1,MINOPL,1.0,2050,19.4
RE1,MINOPL,1.0,2051,19.4
RE1,MINOPL,1.0,2052,19.4
RE1,MINOPL,1.0,2053,19.4
RE1,MINOPL,1.0,2054,19.4
RE1,MINWOO,1.0,2022,12.75
RE1,MINWOO,1.0,2023,12.75
RE1,MINWOO,1.0,2024,12.75
RE1,MINWOO,1.0,2025,12.75
RE1,MINWOO,1.0,2026,12.75
RE1,MINWOO,1.0,2027,12.75
RE1,MINWOO,1.0,2028,12.75
RE1,MINWOO,1.0,2029,12.75
RE1,MINWOO,1.0,2030,12.75
RE1,MINWOO,1.0,2031,12.75
RE1,MINWOO,1.0,2032,12.75
RE1,MINWOO,1.0,2033,12.75
RE1,MINWOO,1.0,2034,12.75
RE1,MINWOO,1.0,2035,12.75
RE1,MINWOO,1.0,2036,12.75
RE1,MINWOO,1.0,2037,12.75
RE1,MINWOO,1.0,2038,12.75
RE1,MINWOO,1.0,2039,12.75
RE1,MINWOO,1.0,2040,12.75
RE1,MINWOO,1.0,2041,12.75
RE1,MINWOO,1.0,2042,12.75
RE1,MINWOO,1.0,2043,12.75
RE1,MINWOO,1.0,2044,12.75
RE1,MINWOO,1.0,2045,12.75
RE1,MINWOO,1.0,2046,12.75
RE1,MINWOO,1.0,2047,12.75
RE1,MINWOO,1.0,2048,12.75
RE1,MINWOO,1.0,2049,12.75
RE1,MINWOO,1.0,2050,12.75
RE1,MINWOO,1.0,2051,12.75
RE1,MINWOO,1.0,2052,12.75
RE1,MINWOO,1.0,2053,12.75
RE1,MINWOO,1.0,2054,12.75
RE1,MINAFR,1.0,2022,2.77
RE1,MINAFR,1.0,2023,2.98
RE1,MINAFR,1.0,2024,4.58
RE1,MINAFR,1.0,2025,4.58
RE1,MINAFR,1.0,2026,4.58
RE1,MINAFR,1.0,2027,4.58
RE1,MINAFR,1.0,2028,4.58
RE1,MINAFR,1.0,2029,4.58
RE1,MINAFR,1.0,2030,4.58
RE1,MINAFR,1.0,2031,4.58
RE1,MINAFR,1.0,2032,4.58
RE1,MINAFR,1.0,2033,4.58
RE1,MINAFR,1.0,2034,4.58
RE1,MINAFR,1.0,2035,4.58
RE1,MINAFR,1.0,2036,4.58
RE1,MINAFR,1.0,2037,4.58
RE1,MINAFR,1.0,2038,4.58
RE1,MINAFR,1.0,2039,4.58
RE1,MINAFR,1.0,2040,4.58
RE1,MINAFR,1.0,2041,4.58
RE1,MINAFR,1.0,2042,4.58
RE1,MINAFR,1.0,2043,4.58
RE1,MINAFR,1.0,2044,4.58
RE1,MINAFR,1.0,2045,4.58
RE1,MINAFR,1.0,2046,4.58
RE1,MINAFR,1.0,2047,4.58
RE1,MINAFR,1.0,2048,4.58
RE1,MINAFR,1.0,2049,4.58
RE1,MINAFR,1.0,2050,4.58
RE1,MINAFR,1.0,2051,4.58
RE1,MINAFR,1.0,2052,4.58
RE1,MINAFR,1.0,2053,4.58
RE1,MINAFR,1.0,2054,4.58
RE1,MINWAS,1.0,2022,0.0001
RE1,MINWAS,1.0,2023,0.0001
RE1,MINWAS,1.0,2024,0.0001
RE1,MINWAS,1.0,2025,0.0001
RE1,MINWAS,1.0,2026,0.0001
RE1,MINWAS,1.0,2027,0.0001
RE1,MINWAS,1.0,2028,0.0001
RE1,MINWAS,1.0,2029,0.0001
RE1,MINWAS,1.0,2030,0.0001
RE1,MINWAS,1.0,2031,0.0001
RE1,MINWAS,1.0,2032,0.0001
RE1,MINWAS,1.0,2033,0.0001
RE1,MINWAS,1.0,2034,0.0001
RE1,MINWAS,1.0,2035,0.0001
RE1,MINWAS,1.0,2036,0.0001
RE1,MINWAS,1.0,2037,0.0001
RE1,MINWAS,1.0,2038,0.0001
RE1,MINWAS,1.0,2039,0.0001
RE1,MINWAS,1.0,2040,0.0001
RE1,MINWAS,1.0,2041,0.0001
RE1,MINWAS,1.0,2042,0.0001
RE1,MINWAS,1.0,2043,0.0001
RE1,MINWAS,1.0,2044,0.0001
RE1,MINWAS,1.0,2045,0.0001
RE1,MINWAS,1.0,2046,0.0001
RE1,MINWAS,1.0,2047,0.0001
RE1,MINWAS,1.0,2048,0.0001
RE1,MINWAS,1.0,2049,0.0001
RE1,MINWAS,1.0,2050,0.0001
RE1,MINWAS,1.0,2051,0.0001
RE1,MINWAS,1.0,2052,0.0001
RE1,MINWAS,1.0,2053,0.0001
RE1,MINWAS,1.0,2054,0.0001
RE1,MINDAM,1.0,2022,0.0001
RE1,MINDAM,1.0,2023,0.0001
RE1,MINDAM,1.0,2024,0.0001
RE1,MINDAM,1.0,2025,0.0001
RE1,MINDAM,1.0,2026,0.0001
RE1,MINDAM,1.0,2027,0.0001
RE1,MINDAM,1.0,2028,0.0001
RE1,MINDAM,1.0,2029,0.0001
RE1,MINDAM,1.0,2030,0.0001
RE1,MINDAM,1.0,2031,0.0001
RE1,MINDAM,1.0,2032,0.0001
RE1,MINDAM,1.0,2033,0.0001
RE1,MINDAM,1.0,2034,0.0001
RE1,MINDAM,1.0,2035,0.0001
RE1,MINDAM,1.0,2036,0.0001
RE1,MINDAM,1.0,2037,0.0001
RE1,MINDAM,1.0,2038,0.0001
RE1,MINDAM,1.0,2039,0.0001
RE1,MINDAM,1.0,2040,0.0001
RE1,MINDAM,1.0,2041,0.0001
RE1,MINDAM,1.0,2042,0.0001
RE1,MINDAM,1.0,2043,0.0001
RE1,MINDAM,1.0,2044,0.0001
RE1,MINDAM,1.0,2045,0.0001
RE1,MINDAM,1.0,2046,0.0001
RE1,MINDAM,1.0,2047,0.0001
RE1,MINDAM,1.0,2048,0.0001
RE1,MINDAM,1.0,2049,0.0001
